timestamp,event,gpu,session,device,torch,cuda,bf16,vram_gb,cu_per_hour,balance_before,balance_after,active_runtimes_settled,notes
2026-08-23T22:23:00-04:00,rate_calibration,L4,gpu-l4-s-kkb-ass1a0-32s7yp58f91k1,NVIDIA L4,2.11.0+cu128,12.8,true,,1.54,1786.5021344146755,1786.482212634042,0,"identity probe only; two no-runtime polls after stop"
2026-08-23T22:25:00-04:00,rate_calibration,A100,gpu-a100-s-kkb-usc1c0-2ivp9ivckrj5k,NVIDIA A100-SXM4-40GB,2.11.0+cu128,12.8,true,39.49,5.3,1786.482212634042,1786.482212634042,0,"identity probe only; debit still eventually consistent at last read; two no-runtime polls after stop"
2026-08-23T23:27:00-04:00,recovery_gate_failed_safe,T4,gpu-t4-s-kkb-ass1a0-3iq6vjnq1ae4f,Tesla T4,2.11.0+cu128,12.8,false,,1.54,1786.482212634042,1786.3204473108256,0,"0.161765 CU; FP16/fused fix passed; clean step-300 final checkpoint and state durable in GCS; forced SIGKILL killed Fabric launcher but orphan rank continued, so runtime manually stopped and gate not credited"
2026-08-24T00:16:02-04:00,recovery_gate_failed_informative,T4,gpu-t4-s-kkb-ass1a0-2j9l8iyc9mvq7,Tesla T4,2.11.0+cu128,12.8,false,,1.54,1786.3204473108256,1786.1457621965744,0,"0.174685 CU; full descendant kill and immutable GCS delete/restore succeeded; both common-parent step-300 finals durable; offline comparison found model max_abs 0.026513 and metric divergence beyond frozen tolerances, so gate not credited; deterministic CUDA patch required"
2026-08-24T00:37:00-04:00,recovery_gate_exact_posthoc_clearance,T4,gpu-t4-s-kkb-usw4b1-4nxovblvits0,Tesla T4,2.11.0+cu128,12.8,false,,1.54,1786.1457621965744,1785.9790656360092,0,"0.166697 CU; deterministic common-parent replay produced byte-identical step-300 checkpoints and exact weights/optimizer/scheduler/RNG/GradScaler/logits/metrics; original passed:false retained because a 300-line diagnostic tail evicted the observed fast-forward marker; independent audit cleared A100 with a separate immutable posthoc receipt"
2026-08-24T00:43:00-04:00,a100_profile_failed_safe,A100,gpu-a100-s-kkb-usc1f2-e7mlqhd70xv3,NVIDIA A100-SXM4-40GB,2.11.0+cu128,12.8,true,39.49,5.3,1785.9790656360092,1785.7628364068253,0,"0.216229 CU; both 50-step HMM GPT/NextLat smokes completed with durable checkpoints; measured Lure-Star wrapper failed on missing sibling import core_train; generation-3 terminal and 45 SHA-addressed artifacts retained; explicit stop followed by two no-runtime/zero-burn reads"
2026-08-24T01:08:00-04:00,a100_profile_runtime_lost_informative,A100,gpu-a100-s-kkb-usc1f1-1nzrnzrdovp1u,NVIDIA A100-SXM4-40GB,2.11.0+cu128,12.8,true,39.49,5.3,1785.7628364068253,1784.3603363775824,0,"1.402500 CU; corrected wrapper passed both HMM smokes and completed measured GPT/NextLat; BST reached step 364 before the Colab runtime vanished; generation-2 state commits 29 smoke artifacts while failed periodic syncs left additional immutable GPT/NextLat and BST step-125/250 content-addressed objects for fail-closed salvage audit; two no-runtime/zero-burn reads verified"
2026-08-24T04:06:00-04:00,h3_nonconfirmatory_pilot_complete,A100,gpu-a100-s-kkb-usc1b1-60n1akmr0jed,NVIDIA A100-SXM4-40GB,2.11.0+cu128,12.8,true,39.49,5.3,1783.25765136152,1783.0722580985762,0,"0.185393 CU; frozen BST seed-1234 step-500 nuisance pilot scored all 53000 model-blind rows in 126.6s; 53 create-only 1000-row GCS chunk commits plus generation-bound final loss/receipt/state-last retained; fixed mid loss caliper 0.1 then failed closed for 1115/5000 near items; two no-runtime/zero-burn reads verified"
2026-08-24T05:12:00-04:00,h3_d40_expansion_runtime_lost_informative,A100,gpu-a100-s-kkb-ass1c2-9rf3s5v5gui6,NVIDIA A100-SXM4-40GB,2.11.0+cu128,12.8,true,39.49,5.3,1783.0722580985762,1781.5027984899514,0,"1.569460 CU; immutable D40 job 393c933e scored and generation-committed 124000/135000 rows before websocket/runtime disappearance; no final state claimed; two agreeing no-runtime/zero-burn reads; exact same job resumed from committed chunks"
2026-08-24T05:18:00-04:00,h3_d40_expansion_complete,A100,gpu-a100-s-kkb-usc1b0-1gkh3uto8o19h,NVIDIA A100-SXM4-40GB,2.11.0+cu128,12.8,true,39.49,5.3,1781.5027984899514,1781.092236633952,0,"0.410562 CU; restored 124 generation-pinned chunks and completed all 135000 rows; loss f84c73b8, scoring receipt 3e487999, state-last generation 1787563059069047; D40 selector then permanently blocked H3 for 4/5000 unmatched under the frozen no-further-amendment rule; stopped and verified no-runtime/zero-burn twice"
